name,lat,lon
Versmold,52.040049,8.155495
Werther (Westf.),52.072545,8.411163
Bünde,52.197547,8.58371
Enger,52.139237,8.559282
Herford,52.115598,8.673516
Hiddenhausen,52.166041,8.616108
Kirchlengern,52.198451,8.642152
Löhne,52.189912,8.688425
Rödinghausen,52.253282,8.479015
Spenge,52.139046,8.48257
Vlotho,52.165489,8.860068
Bad Driburg,51.736124,9.017025
Beverungen,51.662804,9.372651
Borgentreich,51.571529,9.240386
Brakel,51.716841,9.184377
Höxter,51.775666,9.381623
Marienmünster,51.81928,9.229516
Nieheim,51.804067,9.110021
Steinheim,51.866755,9.096625
Warburg,51.488934,9.145955
Willebadessen,51.624696,9.028703
Augustdorf,51.909123,8.74464
Bad Salzuflen,52.084067,8.747019
Barntrup,51.99013,9.115952
Blomberg,51.943469,9.091039
Detmold,51.935357,8.878641
Dörentrup,52.033153,9.005779
Extertal,52.068647,9.122575
Horn-Bad Meinberg,51.87278,8.945418
Kalletal,52.106847,8.948163
Lage,51.991233,8.79254
Lemgo,52.027912,8.900886
Leopoldshöhe,52.011984,8.699336
Lügde,51.957888,9.245996
Oerlinghausen,51.952315,8.66135
Schieder-Schwalenberg,51.913825,9.153219
Schlangen,51.808914,8.842969
Bad Oeynhausen,52.205258,8.805514
Espelkamp,52.377427,8.632644
Hille,52.337196,8.743508
Hüllhorst,52.2723,8.672107
Lübbecke,52.303439,8.617351
Minden,52.288271,8.914559
Petershagen,52.378264,8.969816
Porta Westfalica,52.22962,8.914539
Preußisch Oldendorf,52.306051,8.495612
Rahden,52.432924,8.613029
Stemwede,52.376102,8.453006
Altenbeken,51.760981,8.944689
Bad Lippspringe,51.782341,8.818502
Borchen,51.668336,8.723332
Büren,51.554935,8.559696
Delbrück,51.76505,8.562506
Hövelhof,51.820295,8.658605
Lichtenau,51.616847,8.895788
Paderborn,51.719601,8.757301
Salzkotten,51.671701,8.604954
Bad Wünnenberg,51.517257,8.697601
Bochum,51.482699,7.217177
Dortmund,51.514171,7.464165
Hagen,51.360171,7.467406
Hamm,51.678312,7.816947
Herne,51.540365,7.222793
Breckerfeld,51.261435,7.46522
Ennepetal,51.297193,7.367678
Gevelsberg,51.324271,7.337464
Hattingen,51.399035,7.184107
Herdecke,51.3994,7.430129
Schwelm,51.284,7.29187
Sprockhövel,51.361402,7.244016
Wetter (Ruhr),51.383741,7.390737
Witten,51.438718,7.337177
Arnsberg,51.395795,8.064801
Bestwig,51.36108,8.398158
Brilon,51.395499,8.568121
Eslohe (Sauerland),51.257259,8.174776
Hallenberg,51.111987,8.621165
Marsberg,51.459563,8.854984
Medebach,51.198074,8.704871
Meschede,51.346881,8.285176
Olsberg,51.355666,8.472696
Schmallenberg,51.153811,8.285496
Sundern (Sauerland),51.330125,8.005553
Winterberg,51.194293,8.534051
Altena,51.298662,7.67459
Balve,51.330545,7.864187
Halver,51.186749,7.497997
Hemer,51.385395,7.765233
Herscheid,51.177282,7.745898
Iserlohn,51.374541,7.699212
Kierspe,51.136194,7.586453
Lüdenscheid,51.21582,7.63358
Meinerzhagen,51.107434,7.638497
Menden (Sauerland),51.439281,7.795344
Nachrodt-Wiblingwerde,51.335816,7.641751
Neuenrade,51.281925,7.77967
Plettenberg,51.212418,7.874142
Schalksmühle,51.241352,7.529389
Werdohl,51.259614,7.766853
Attendorn,51.125217,7.905217
Drolshagen,51.024727,7.775835
Finnentrop,51.171888,7.973076
Kirchhundem,51.086248,8.090176
Lennestadt,51.103245,8.073677
Olpe,51.02756,7.843584
Wenden,50.969338,7.873424
Bad Berleburg,51.049858,8.392854
Burbach,50.745639,8.080321
Erndtebrück,50.988732,8.256223
Freudenberg,50.901639,7.882831
Hilchenbach,50.995897,8.113101
Kreuztal,50.961831,7.988096
Bad Laasphe,50.927285,8.41223
Netphen,50.915322,8.098414
Neunkirchen,50.787894,7.993355
Siegen,50.874559,8.024625
Wilnsdorf,50.815392,8.103838
Anröchte,51.561271,8.327462
Bad Sassendorf,51.585642,8.164329
Ense,51.503923,7.959552
Erwitte,51.611473,8.336195
Geseke,51.640122,8.508216
Lippetal,51.656454,8.143621
Lippstadt,51.674054,8.346206
Möhnesee,51.497716,8.131657
Rüthen,51.491486,8.431127
Soest,51.572543,8.106308
Warstein,51.442787,8.353834
Welver,51.618557,7.957742
Werl,51.553012,7.914536
Wickede (Ruhr),51.49641,7.870363
Bergkamen,51.615888,7.643344
Bönen,51.597952,7.763346
Fröndenberg/Ruhr,51.473212,7.767252
Holzwickede,51.502798,7.617843
Kamen,51.592335,7.662404
Lünen,51.614327,7.523533
Schwerte,51.441141,7.568982
Selm,51.70035,7.468573
Unna,51.534878,7.689932
Werne,51.663179,7.635119
